intv_num;survey_id;stage_no;user_id;start_time;end_time;duration;r0;rA;rB;rC_1;rC_2;rC_3;rC_4;rC_5;rC_6;rC_7;rC_8;rC_9;rD_1;rD_2;rD_3;rD_4;rD_5;rD_6;rD_7;rE;rF;rGa_1;rGa_2;rGa_3;rGa_4;rGa_5;rGa_6;rGa_7;rGa_8;rGa_9;rGa_10;rGat10;rGa_11;rGb_1;rGb_2;rGb_3;rGb_4;rGb_5;rGb_6;rGb_7;rGb_8;rGb_9;rGb_10;rGbt10;rGb_11;rI;rJ;rK
1113;171554scr;-1;AlmWawa05;"2017-08-09 17:22:14";"2017-08-09 17:24:26";132;2;40;3;6;1;6;4;6;1;6;4;1;0;0;0;0;0;0;1;2;4;0;0;0;0;0;0;0;0;0;1;davidof;0;0;0;0;0;0;0;0;0;0;1;davidof;0;2;9;1
1112;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;33;3;6;6;6;6;6;6;6;6;1;0;0;0;0;0;0;1;2;4;0;0;0;0;0;0;1;0;0;1;"dolce gabana";0;0;0;0;0;0;0;0;0;0;1;"dolce gabana";0;2;12;1
1109;171554scr;-1;AlmWawa05;"2017-08-09 17:24:39";"2017-08-09 17:26:15";96;2;33;3;6;6;6;6;6;1;6;6;1;0;0;0;0;0;0;1;2;4;0;1;0;0;0;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;1;0;;0;1;6;1
1108;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;39;3;6;6;6;6;6;6;6;6;1;0;0;0;0;0;0;1;2;4;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;1;0;;0;2;13;1
1106;171554scr;-1;AlmWawa05;"2017-08-09 17:26:30";"2017-08-09 17:27:52";82;2;34;3;6;1;6;6;6;6;6;6;3;0;0;0;0;0;0;1;2;4;0;0;1;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;0;;0;2;6;1
1107;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;35;3;6;1;6;6;6;6;6;1;1;0;0;0;0;0;0;1;2;4;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;;0;2;14;1
1102;171554scr;-1;AlmWawa05;"2017-08-09 17:28:09";"2017-08-09 17:30:19";130;2;37;3;6;1;6;6;6;6;6;3;1;0;0;0;0;0;0;1;2;4;0;1;0;0;0;0;0;0;0;1;"lolita lecicka, naomi cambel";0;0;1;0;0;0;0;0;0;0;0;;0;1;8;1
1085;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;43;3;6;5;6;6;6;6;6;5;3;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;1;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;10;1
1105;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;37;3;6;1;6;5;6;6;6;5;1;0;0;0;0;0;0;1;2;4;1;1;1;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;0;;0;1;10;1
1083;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;33;3;6;6;6;6;5;5;6;5;4;0;0;0;0;0;0;1;2;4;1;0;0;0;0;1;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;1;15;1
1100;171554scr;-1;AlmWawa05;"2017-08-09 17:30:32";"2017-08-09 17:32:06";94;2;32;2;6;6;6;6;6;6;6;3;3;0;0;0;0;0;0;1;2;4;0;1;0;0;0;0;0;0;0;1;"donna korchn";0;0;0;0;0;0;0;0;0;0;1;"donna korchn";0;2;4;1
1104;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;42;3;6;6;6;6;6;6;6;3;1;0;0;0;0;0;0;1;2;4;0;0;1;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;0;;0;2;15;1
1082;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;36;3;6;6;6;5;6;6;6;6;1;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;15;1
1067;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;25;2;6;6;6;6;6;6;6;6;5;0;0;0;0;0;0;1;2;4;1;0;0;1;0;0;0;1;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;1;15;1
1097;171554scr;-1;AlmWawa05;"2017-08-09 17:32:21";"2017-08-09 17:33:55";94;2;25;2;6;6;6;6;5;5;6;4;2;0;0;0;0;0;0;1;2;4;0;1;0;0;0;0;1;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;;0;2;7;1
1098;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;25;2;6;6;6;6;6;4;6;3;1;0;0;0;0;0;0;1;2;4;0;0;0;0;0;0;0;0;0;1;zara;0;0;0;0;0;0;0;0;0;0;1;zara;0;1;3;1
1081;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;41;3;6;6;6;6;6;6;6;6;3;0;0;0;0;0;0;1;2;4;1;0;0;0;1;0;0;1;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;8;1
1079;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;36;3;6;5;5;6;6;5;5;6;5;0;0;0;0;0;0;1;2;4;1;1;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;7;1
1094;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;30;2;4;6;6;6;6;6;6;6;2;0;0;0;0;0;0;1;2;4;1;0;0;0;1;0;0;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;;0;2;5;1
1096;171554scr;-1;AlmWawa05;"2017-08-09 17:34:09";"2017-08-09 17:35:37";88;2;30;2;6;1;6;6;1;1;6;6;1;0;0;0;0;0;0;1;2;4;0;1;0;1;0;0;0;0;0;0;;0;0;1;0;0;0;0;0;0;0;0;;0;1;3;1
1076;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;33;3;6;5;6;6;6;6;6;5;5;0;0;0;0;0;0;1;2;4;1;0;1;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;11;1
1077;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;42;3;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;1;7;1
1091;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;30;2;6;4;6;6;6;6;6;4;3;0;0;0;0;0;0;1;2;4;0;0;0;0;0;0;0;0;1;0;;0;0;0;0;0;0;0;0;0;1;0;;0;2;9;1
1095;171554scr;-1;AlmWawa05;"2017-08-09 17:35:49";"2017-08-09 17:37:26";97;2;30;2;4;6;6;4;1;1;6;4;1;0;0;0;0;0;0;1;2;4;1;1;1;0;0;0;0;0;1;0;;0;0;1;0;0;0;0;0;0;0;0;;0;2;9;1
1074;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;40;3;6;5;4;5;6;5;6;6;3;0;0;0;0;0;0;1;2;4;1;1;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;10;1
1073;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;39;3;6;6;6;6;6;6;6;6;4;0;0;0;0;0;0;1;2;4;1;1;0;0;0;0;0;1;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;1;4;1
1115;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;37;3;6;6;6;6;6;6;6;6;2;0;0;0;0;0;0;1;2;4;0;1;1;0;0;0;0;0;0;1;moschino;0;0;1;0;0;0;0;0;0;0;0;;0;2;4;1
1080;171554scr;-1;AlmWawa05;"2017-08-09 17:37:38";"2017-08-09 17:39:18";100;2;44;3;6;6;6;6;6;6;6;6;1;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;0;0;0;1;"naomi cambel";0;1;0;0;0;0;0;0;0;0;0;;0;2;7;1
1072;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;45;3;6;6;6;6;6;5;5;6;3;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;1;3;1
1068;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;31;2;6;6;6;6;6;6;6;3;3;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;7;1
1114;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;45;3;6;6;6;5;6;6;6;5;1;0;0;0;0;0;0;1;2;4;0;0;1;1;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;;0;2;15;1
1075;171554scr;-1;AlmWawa05;"2017-08-09 17:39:31";"2017-08-09 17:41:07";96;2;34;3;6;6;6;6;6;6;6;4;2;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;1;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;10;1
1064;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;25;2;6;6;6;6;6;6;6;6;4;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;6;1
1063;171554scr;-1;AlmWawa03;"2017-08-09 17:28:41";"2017-08-09 17:30:32";111;2;30;2;6;6;6;6;6;6;6;4;2;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;8;1
1061;171554scr;-1;AlmWawa04;"2017-08-09 17:22:49";"2017-08-09 17:25:32";163;2;30;2;6;6;6;6;6;6;6;6;2;0;0;0;0;0;0;1;2;4;1;0;0;0;1;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;2;10;1
1065;171554scr;-1;AlmWawa05;"2017-08-09 17:41:21";"2017-08-09 17:42:32";71;2;26;2;6;6;6;6;6;6;6;6;3;0;0;0;0;0;0;1;2;4;1;1;0;0;0;0;0;0;1;0;;0;1;0;0;0;0;0;0;0;0;0;;0;1;4;1
1084;171554scr;-1;AlmWawa05;"2017-08-09 17:42:45";"2017-08-09 17:44:05";80;2;37;3;5;6;6;4;6;1;6;4;1;0;0;0;0;0;0;1;2;4;1;1;0;0;1;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;;0;1;6;1
